control_id,capitulo,control_nombre,control_descripcion,pregunta,proposito,tipo_preventivo,tipo_detectivo,tipo_correctivo,prop_confidencialidad,prop_integridad,prop_disponibilidad,func_identificacion,func_proteccion,func_deteccion,func_respuesta,func_recuperacion,cap_gobernanza,cap_gestion_activos,cap_proteccion_informacion,cap_seguridad_rrhh,cap_seguridad_fisica,cap_seguridad_redes_sistemas,cap_seguridad_aplicaciones,cap_configuraciones_seguras,cap_gestion_accesos_identidades,cap_gestion_amenazas_vulnerabilidades,cap_continuidad,cap_seguridad_proveedores,cap_cumplimiento_legalidad,cap_gestion_eventos_si,cap_garantizar_si,dom_gobernanza_ecosistema,dom_proteccion,dom_defensa,dom_resiliencia,aplica,peso,porcentaje_absoluto_capitulo,tipo_seguridad,proyecto_sugerido,plazo_sugerido,mapeo_iso_27002_2013
5.34,5 - Controles Organizativos,Privacidad y protección de la información de identificación personal (PII),5.34 - La organización debe identificar y cumplir con los requisitos relacionados con la preservación de la privacidad y la protección de la información de identificación personal de acuerdo con las leyes y regulaciones aplicables.,"5.34 - ¿Se asegura la privacidad y la protección de la información personal, según lo requiera la legislación y regulación pertinente?",0,1,0,0,1,1,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.675676,2.702703,Organizativa,Programa de Concientización en Seguridad,Corto,Marco Normativo de Seguridad
5.35,5 - Controles Organizativos,Revisión independiente de SI,5.35 - El enfoque de la organización para gestionar la SI y su implementación debe revisarse de forma independiente a intervalos planificados o cuando se produzcan cambios significativos.,"5.35 - ¿El enfoque de la organización para la gestión de la SI y su implementación (es decir, objetivos de control, controles, políticas, procesos y procedimientos para la SI) se revisa en forma independiente a intervalos planificados, o cuando ocurren cambios significativos?",0,1,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.675676,2.702703,Lógica,Gestión de Accesos e Identidades (IDM),Medio,Marco Normativo de Seguridad
5.36,5 - Controles Organizativos,Cumplimiento de políticas y estándares de SI,5.36 - Se debe revisar periódicamente el cumplimiento de las políticas y estándares de SI de la organización.,"5.36 - ¿El nivel gerencial revisa periódicamente que los procesos y procedimientos de información dentro de su área de responsabilidad, cumplan con las políticas de seguridad apropiadas, las normas y cualquier otro requisito de seguridad?",0,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0.675676,2.702703,Lógica,Gestión de Accesos e Identidades (IDM),Medio,Marco Normativo de Seguridad
5.37,5 - Controles Organizativos,Procedimientos operativos documentados,5.37 - Los procedimientos operativos para las instalaciones de procesamiento de información deben documentarse y ponerse a disposición de todo el personal que los necesite.,5.37 - ¿Existe una documentación de procedimientos operativos y está disponible para todo el que la necesite?,0,1,0,1,1,1,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,1,0.675676,2.702703,Lógica,Implementación de Logon Único (SSO),Medio,Gestión de Accesos e Identidades (IDM)
6.1,6 - Controles de Personas,Verificación de antecedentes (screening),"6.1 - Las verificación de antecedentes de todos los candidatos a convertirse en personal deben llevarse a cabo de acuerdo con las leyes, regulaciones y ética aplicables, y ser proporcionales a los requisitos del negocio, la clasificación de la información a la que se accederá y los riesgos percibidos.","6.1 - ¿Se realiza una verificación de antecedentes de todos los candidatos al empleo según las leyes, regulaciones y reglas éticas; y dicha verificación es proporcional con los requisitos del negocio, con la clasificación de la información a ser accedida y con los riesgos percibidos?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.125,12.5,Lógica,Segmentación de Redes,Corto,Gestión de Accesos e Identidades (IDM)
6.2,6 - Controles de Personas,Términos y condiciones de empleo,6.2 - Los acuerdos contractuales con el personal deben establecer sus responsabilidades y las de la organización para la SI.,6.2 - ¿Los contratos laborales con empleados y contratistas establecen sus responsabilidades y las de la organización para con la SI?,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.125,12.5,Lógica,Segmentación de Redes,Medio,Gestión de Accesos e Identidades (IDM)
6.3,6 - Controles de Personas,"Concientización, educación y entrenamiento en SI","6.3 - Todo el personal de la organización y las partes interesadas relevantes deben recibir educación y capacitación adecuadas en materia de sensibilización sobre SI y actualizaciones periódicas de las políticas y procedimientos de la organización, según sea relevante para su función laboral.","6.3 - ¿Los empleados y, cuando sea pertinente los contratistas, reciben concientización, educación y capacitación apropiadas, y actualizaciones regulares de las políticas y procedimientos organizacionales, que sean pertinentes a su tarea?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.125,12.5,Lógica,Mecanismos de Cifrado de la Información,Corto,Marco Normativo de Seguridad
6.4,6 - Controles de Personas,Proceso disciplinario,6.4 - Debe existir un proceso disciplinario formal y comunicado para tomar medidas contra el personal y otras partes interesadas que hayan cometido una violación de la política de SI.,"6.4 - ¿Existe un proceso disciplinario formal y comunicado a todos los empleados, para sancionar a aquellos que hayan cometido violaciones a la seguridad?",0,1,0,1,1,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.125,12.5,Lógica,Mecanismos de Cifrado de la Información,Medio,Marco Normativo de Seguridad
6.5,6 - Controles de Personas,Responsabilidades tras la desvinculación o cambio de empleo,"6.5 - Las responsabilidades y deberes de SI que siguen siendo válidos tra la desvinculación o el cambio de empleo deben definirse, hacerse cumplir y comunicarse al personal relevante y otras partes interesadas.","6.5 - ¿Se definen, comunican y se hacen cumplir a los empleados o contratistas, las responsabilidades y las obligaciones relativas a la SI que continúan estando vigentes luego de la desvinculación o cambio de puesto?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.125,12.5,Lógica,Mecanismos de Cifrado de la Información,Largo,Marco Normativo de Seguridad
6.6,6 - Controles de Personas,Acuerdos de confidencialidad o no divulgación,"6.6 - Los requisitos para acuerdos de confidencialidad o no divulgación que reflejen las necesidades de la organización para la protección de la información deben ser identificados, documentados, revisados periódicamente y firmados por el personal interesado y las partes interesadas.","6.6 - ¿Se identifican, revisan periódicamente y documentan, los requisitos para acuerdos de confidencialidad que reflejen las necesidades de la organización respecto a la protección de la información?",0,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,3.125,12.5,Lógica,Mecanismos de Cifrado de la Información,Medio,Marco Normativo de Seguridad
6.7,6 - Controles de Personas,Trabajo remoto,"6.7 - Se deben implementar medidas de seguridad para proteger la información a la que se accede, procesa o almacena fuera de las instalaciones de la organización.","6.7 - ¿Se encuentra implementada una política y las medidas de seguridad adecuadas para proteger la información que se accede, procesa y almacena en las instalaciones de teletrabajo?",0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,3.125,12.5,Lógica,Mecanismos de Cifrado de la Información,Largo,Marco Normativo de Seguridad
